shift_id,category,note
S100737,relief_no_show,Next shift guard did not pitch. Had to cover.
S106900,relief_no_show,client signed for the extra hrs but real reason is relief no show again
S108361,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S100877,equipment_failure,"generator fault, stayed to monitor"
S108162,client_request,"client asked us to stay for the delivery, ok'd by centre mgmt"
S102786,routine_or_unclear,Covering for Mahlangu - booked off sick
S107007,routine_or_unclear,
S106106,handover_delay,shift handover delayed by 30 min
S106463,relief_no_show,double shift because relief never pitched
S102332,relief_no_show,double shift because relief never pitched
S108056,relief_no_show,Nexxt shift guuard did not pitch. Had to cover.
S103439,relief_no_show,"no replacement sent, ngicela sort this out"
S100571,relief_no_show,relief no show AGAIN
S101332,handover_delay,"handover late again, keys missing"
S107753,relief_no_show,"no replacement sent, ngicela sort this out.."
S106253,client_request,Client requested deep clean before the audit - approved
S100168,routine_or_unclear,all fine
S104252,routine_or_unclear,sharp
S103008,handover_delay,"oorhandiging was laat, gewag vir sleutels"
S105453,routine_or_unclear,akukho lutho
S106113,client_request,etra hours approved by client for the event setup
S106907,handover_delay,"oorhandiging was laat, gewag vir sleutels"
S106876,handover_delay,"oorhandiging was laat, gewag vir sleutels"
S105345,relief_no_show,"next shift akafikanga, ngihlale kuze kube 06h00"
S106814,relief_no_show,"Mabaso didnt come in, covered the post"
S109082,handover_delay,"hanodver late again, keys missing"
S107738,handover_delay,"waited 50 min for handover, OB book not signed"
S107339,routine_or_unclear,"additional cover requested by site manager, signed off"
S100205,routine_or_unclear,no issues on site
S108984,routine_or_unclear,Covering for Pillay - booked off sick
S104765,handover_delay,"waited 50 min for handover, ob book not signed"
S102055,relief_no_show,"covering Wyk post, no show no call"
S101825,handover_delay,"late handover, waiting on paperwork"
S102559,routine_or_unclear,no incidents
S106334,client_request,Client asked for extra patrol aftter the break-in Tuesday
S101061,client_request,"stocktake ran over, client asked us to remain, they know they pay for it"
S108139,client_request,"client asked us to stay for the delivery, ok'd by centre mgmt"
S106859,routine_or_unclear,fine
S103877,routine_or_unclear,sharp
S103656,routine_or_unclear,"DOUBLE DUTY TODAY, FOURIE ON FAMILY RESPONSIBILITY LEAVE"
S105093,client_request,"client asked us to stay for the delivery, ok'd by centre mgmt.."
S105680,client_request,"client wanted extra man on the gate for the event, approved"
S101121,routine_or_unclear,niks om te rapporteer nie
S108690,routine_or_unclear,no incidents
S105807,client_request,klient het ekstra ure gevra vir stockake
S105217,handover_delay,shift handover delayed by 25 min
S105371,routine_or_unclear,ok
S106224,routine_or_unclear,"gedek vir Adams, siek gemeld"
S108070,relief_no_show,stood in for Radebe
S104308,relief_no_show,Next shift guard did not pitch. Had to cover
S105062,routine_or_unclear,quiet shift
S101434,routine_or_unclear,"scrubber broke down, had to do the floor manually.."
S103671,routine_or_unclear,Covering for September - booked off sick..
S108354,routine_or_unclear,"gedek vir Tshabaala, siek gemeld"
S108267,client_request,Centre mgr requested additionaal cover for stocktake
S108389,routine_or_unclear,"requested by centre management for load in, signed off"
S103433,client_request,"stocktake ran over, client asked us to remain, they know they pay for it"
S106978,relief_no_show,"next shift akafikanga, ngihlale kuze kube six"
S106245,routine_or_unclear,sharp
S106878,relief_no_show,"September didt come in, covered the post"
S104428,client_request,"stocktake ran over, client asked us to remain, thhey know they pay for it"
S102342,routine_or_unclear,.
S105877,routine_or_unclear,all good
S106936,routine_or_unclear,ok
S107938,handover_delay,"late handover, waiting on paperwork"
S108000,handover_delay,"handover late agn, keys missing.."
S103399,routine_or_unclear,ntr
S101233,routine_or_unclear,"took Jacobs shift as well, 2 posts 1 guard"
S101223,client_request,Client requested deep clean before the audit - approved
S105661,relief_no_show,double shift because relief never pitched
S108187,handover_delay,"oorhandiging was laat, gewag vir sletuels !"
S106210,routine_or_unclear,all good
S104295,routine_or_unclear,"machine down again, took twice as long"
S101088,routine_or_unclear,"scrubber broke down, had to do the floor manualyl"
S104328,client_request,Centre manager requested additional cover for stocktake
S101143,client_request,extra hours approved by client for the event seup
S107378,routine_or_unclear,n/a
S109333,routine_or_unclear,"lift out of order, everything carried up stairs, took long"
S106514,handover_delay,shift handover delayed by 25 min
S101642,client_request,Client requested deep clean before the audit - approved
S100593,routine_or_unclear,"took fourie shift as wll, 2 posts 1 guard"
S105147,client_request,"client says stay till 06:00, dont know if office approved"
S105777,client_request,"client asked us to stay for the delivery, ok'd by centre mgmt"
S103083,relief_no_show,"still on site, relief was suppose to come 0600"
S107881,client_request,Client requested deep clean before the audit - approved
S100164,relief_no_show,"uFouire akezanga namhlanje, ngimele yena"
S106903,relief_no_show,relief no show AGAIN
S106247,relief_no_show,next shift guard did not pitch. had to cover
S108878,handover_delay,"handover late again, keys missing"
S102888,routine_or_unclear,"double duty today, Mahlangu on family responsibility leave"
S107172,routine_or_unclear,nothing to report
S105907,relief_no_show,stood in for Mthembu
S107272,routine_or_unclear,"aflos het nie opgedaag nie, moes aanbly"
S107719,relief_no_show,Covered for Motaung again - 3rd time this month
S107751,relief_no_show,"September didnt come in, covered the post !"
S100406,routine_or_unclear,as per normal
S101019,handover_delay,"late handover, waiting on paperwork"
S104171,routine_or_unclear,"requested by centre management for load in, signed off"
S100329,relief_no_show,client signed for the extra hours but real reason is relief no show again
S104084,handover_delay,"late handover, waiting on paperwork"
S105455,routine_or_unclear,Covering for Mahlangu - booked off sick
S104307,routine_or_unclear,"requested by centre management for load in, signed off"
S107353,routine_or_unclear,nothing to report
S105081,relief_no_show,"control room says relief coming, nobody came"
S104524,routine_or_unclear,all quiet
S106429,handover_delay,shift handover delayed by 30 min
S103630,routine_or_unclear,"Botha absent, took her rounds as well"
S101912,relief_no_show,"covering khumalo post, no show no call"
S106449,client_request,client requested deep clean before the audit - approved !
S102915,routine_or_unclear,"worked through, Baloyi at the clinic"
S108089,relief_no_show,"conntrol room says relief coming, nobody came"
S100063,relief_no_show,"Botha didnt come in, covered the post"
S109151,routine_or_unclear,no incidents
S105810,relief_no_show,covered for mauel again - 3rd time this month
S100324,relief_no_show,"still on site, relief was suppose to come 06:00"
S108372,routine_or_unclear,"worked through, Sibiya at the clinic.."
S104893,handover_delay,"waited 20 min for handover, OB book not signed"
S106412,relief_no_show,"uTshabalala akezanga namhlanje, ngimele yena"
S106153,relief_no_show,stood in for Pillay..
S107045,relief_no_show,relief no show AGAIN
S104802,client_request,"extra patrol per client email, approved by office"
S108282,client_request,klient het ekstra ure gevra vir stocktake
S103468,handover_delay,"waited 25 min for handover, OB book not signed"
S100592,client_request,"client asked us to stay for the delivery, ok'd by centre mgmt"
S104639,routine_or_unclear,"additional cover requested by site mgr, signed off"
S106391,routine_or_unclear,akukho lutho
S102310,routine_or_unclear,.
S108259,routine_or_unclear,"gate motor failed, manned it by hand till 6"
S107682,routine_or_unclear,-
S106087,relief_no_show,"relief only arrived 06h00, stayed until then"
S101617,routine_or_unclear,
S103563,routine_or_unclear,sharp
S107432,routine_or_unclear,ntr
S105979,routine_or_unclear,fine
S107340,routine_or_unclear,Covering for Mahlangu - bookked off sick
S103376,client_request,"client wanted extra man on the gate for the event, approved"
S107293,relief_no_show,"relief never arrived, stayed on till 6"
S100954,routine_or_unclear,ok
S101549,handover_delay,"handover late agn, keys missing"
S100624,routine_or_unclear,akukho lutho
S100926,relief_no_show,"covering Hendricks pos, no show no call"
S103528,client_request,Centre mgr requested additional cover for stocktake
S107844,client_request,Clint requested deep clean before the audit - approved
S106119,relief_no_show,"uMolefe akezanga namhlanje, ngimele yena"
S101874,relief_no_show,"no replacement sent, ngicela sort this out"
S107803,routine_or_unclear,fine
S105335,client_request,client asked for extra patrol after the break-in tueesday
S107833,handover_delay,"oorhandiging was laa, gewag vir sleutels"
S108358,routine_or_unclear,"took Motaung shift as well, 2 posts 1 guard"
S101505,routine_or_unclear,
S106236,client_request,extra hours approved by clent for the event setup
S101047,client_request,Centre manager requested additional cover for stocktake
S109288,routine_or_unclear,all quiet
S104123,routine_or_unclear,nothing to report
S108613,handover_delay,"oorhandiging was laat, gewag vir sleutels"
S103780,routine_or_unclear,nothing to report
S109338,relief_no_show,relief no show again
S106991,client_request,"client asked us to stay for the delivery, ok'd by cnetre mgmt"
S108913,relief_no_show,double shift bc relief never pitched
S101184,handover_delay,shift handover delayed by 25 min
S101387,routine_or_unclear,"gedek vir Adaams, siek gemeld"
S108219,routine_or_unclear,nothing to report
S101599,relief_no_show,client signed for the extra hours but real reason is relief no show agin
S106262,routine_or_unclear,"covering Molefe post, no sow no call.."
S102769,routine_or_unclear,n/a
S109299,relief_no_show,"Hendricks didnt come in, coevred the post"
S101576,handover_delay,"waited 30 min for handover, OB book not signed !"
S104408,relief_no_show,"ugNcobo akezanga namhlanje, ngimele yena"
S102020,routine_or_unclear,"took Wyk shift as well, 2 posts 1 guard"
S105189,client_request,CLIENT REQUESTED DEEP CLEAN BEFORE THE AUDIT - APPROVED
S101875,handover_delay,shift handover delayed by 30 min
S103448,relief_no_show,"Mokoena didnt come in, covered the pst"
S104440,relief_no_show,"waited for relief, nobody came through"
S103026,relief_no_show,relief no shwo AGAIN
S100892,relief_no_show,"uJacobs akezanga namhlanje, ngimele yena.."
S107877,handover_delay,shift handover delayed by 45 min
S108492,routine_or_unclear,fine
S107113,handover_delay,"handover late again, keys missing"
S104838,client_request,"cllient says stay till 06h00, dont know if office approved"
S104527,routine_or_unclear,Covreed for Mabaso agn - 3rd time this month
S106371,routine_or_unclear,"double duty today, Dlamini on family responsibility leave"
S108108,routine_or_unclear,"aflos het nie opgedaag nie, moes aanbly"
S102956,handover_delay,"late handover, waiting on paperwork.."
S101752,routine_or_unclear,"gedek vir Maluleke, siek gemeld"
S103686,relief_no_show,"relief never arrived, stayed on till 06h00"
S104188,routine_or_unclear,"TOOK SIBIYA SHIFT AS WELL, 2 POSTS 1 GUARD"
S107471,routine_or_unclear,.
S107963,routine_or_unclear,"Sithole absent, took her rounds as well.."
S101906,routine_or_unclear,"scrubber broke down, had to do the flooor manually"
S102383,client_request,"client wanted extra man on the gate for the event, appoved"
S104172,equipment_failure,"generator fault, stayed to monitor"
S108025,routine_or_unclear,"reliief only arrived 06:00, stayed until then"
S109329,client_request,"client says stay till 6am, dont kow if office approved"
S103063,routine_or_unclear,"took Wyk shift as well, 2 posts 1 guard"
S100422,relief_no_show,mavuso off sick. again. covered.
S107743,routine_or_unclear,"gedek vir Khumalo, siek gemeld !"
S100921,routine_or_unclear,as per normal
S108442,handover_delay,"oorhandiging was laat, gewag vir sleutels"
S107824,client_request,Centre manager requested additional cover for stocktake
S106793,relief_no_show,client signed for the extra hours but real reason is relief no show agn..
S101513,routine_or_unclear,"TOOK BOTHA SHIFT AS WELL, 2 POSTS 1 GUARD"
S102046,client_request,"client wanted extra man on the gate for the event, approved"
S108952,handover_delay,"handover late again, keys missign"
S105999,relief_no_show,stood in for Ndlovu
S103398,relief_no_show,"control room syas relief coming, nobody came"
S102032,routine_or_unclear,"machine down again, took twice as long.."
S108170,routine_or_unclear,"lift out of order, everything carried up stairs, took long"
S103186,handover_delay,"waited 45 min for handover, ob book not signed"
S103258,routine_or_unclear,n/a
S102514,routine_or_unclear,"maluleke absent, took her rounds as well"
S101242,client_request,extra hours approved by cliennt for the event setup
S103855,handover_delay,"oorhandiging was laat, gewag vir sleutels"
S107720,routine_or_unclear,"machine down again, took twce as long"
S104067,routine_or_unclear,sharp
S105344,relief_no_show,"covering Mokoena post, no show no call"
S100153,routine_or_unclear,"buffer machine kaput, did the floor by hand"
S100195,routine_or_unclear,"additional cover requuested by site maanger, signed off"
S100504,routine_or_unclear,quiet shift
S107445,routine_or_unclear,"toko Fourie shift as well, 2 posts 1 guard"
S105589,client_request,extra hours approoved by clinet for the event setup
S104419,handover_delay,shift handover delayed by 25 min !
S107473,routine_or_unclear,"wroked through, naidoo at the clinic"
S101083,routine_or_unclear,quiet shift
S100377,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S102826,routine_or_unclear,n/a
S100391,routine_or_unclear,"aflos het nie opgedaag nie, moes aabnly"
S108328,relief_no_show,"covering Jacobs post, no show no call"
S100618,routine_or_unclear,nothing to report
S107742,relief_no_show,"control room says relief coming, nobdoy came"
S104637,client_request,extra hours approved by client for the event setup
S100893,routine_or_unclear,"buffer machine kaput, did the floor by hand.."
S104125,relief_no_show,"waited for relief, nobody came through"
S103628,client_request,extra hrs approved by client for the event setup
S106131,client_request,extra hrs approved by client for the event setup
S107763,routine_or_unclear,no incidents
S107745,routine_or_unclear,"requested by centre management for load in, signed off !"
S106445,relief_no_show,no relief. stayed. someone must please sort the roster..
S106151,handover_delay,shift handover delayed by 50 min
S103016,routine_or_unclear,ok
S104630,routine_or_unclear,"lift out of order, everything carried up stairs, took long"
S104543,client_request,exra hours approved by client for the event setup
S104784,routine_or_unclear,"machine down agn, took twice as long.."
S101584,client_request,Client requested deep clean before the audit - approved
S107058,relief_no_show,"control room says relief coming, nobody came"
S100599,routine_or_unclear,"double duty today, jacobs on family responsibility leave"
S106491,client_request,Client asked for extra patrol after the break-in Tuesday
S108623,relief_no_show,"nxt shift akafikanga, ngihlale kuze kube 0600"
S108587,routine_or_unclear,"worked through, september at the clinic"
S107327,relief_no_show,no relief. staye. someone must pleease sort the roster !
S109285,handover_delay,shift handover delayed by 30 min
S104563,handover_delay,shift handover delayed by 30 min
S101903,routine_or_unclear,no incidents
S104534,routine_or_unclear,"took Wyk shift as well, 2 posts 1 guard.."
S100693,handover_delay,"handover late agn, keys missing !"
S102396,relief_no_show,"next shift akafikanga, ngihlale kuze kube 06h00"
S108862,client_request,"stocktake ran over, client asked us to remain, they know they pay for it"
S106564,client_request,centre manager requested additional cover for stocktake
S101591,relief_no_show,"uAdams akezanga namhlanje, ngimele yena"
S107632,handover_delay,shift handover delayed by 40 min
